text,label,source,source_dataset,transformation,modified_fact,source_text
Says Cory Gardner championed a relentless eight-year crusade to outlaw birth control here in Colorado.,1,synthetic_liar,liar,tone_adjustment,eight-year crusade -> relentless eight-year crusade,Says Cory Gardner championed an eight-year crusade to outlaw birth control here in Colorado.
Says Mitt Romney secretly paid only 14 percent in taxes probably less than you.,1,synthetic_liar,liar,context_distortion,paid only 14 percent in taxes -> secretly paid only 14 percent in taxes,Says Mitt Romney paid only 14 percent in taxes probably less than you.
"The president promised to close the space gap, but he now seems intent on sabotaging the efforts that created the space gap in the first place -- putting in place a new rocket design and then trying to underfund the effort...",1,synthetic_liar,liar,context_distortion,He seems intent on repeating the events that created the space gap -> He seems intent on sabotaging the efforts that created the space gap,"The president promised to close the space gap, but he now seems intent on repeating the events that created the space gap in the first place -- putting in place a new rocket design and then trying to underfund the effort..."
"We moved an astonishing 100 times as many people out of poverty as moved out when President (Ronald) Reagan was in office, with 40 percent more jobs.",1,synthetic_liar,liar,tone_adjustment,100 times as many people moved out of poverty -> an astonishing 100 times as many people moved out of poverty,"We moved 100 times as many people out of poverty as moved out when President (Ronald) Reagan was in office, with 40 percentmore jobs."
"We are in the seventh year of recovery, and median income is below what it was at the start of the recovery.",1,synthetic_liar,liar,fact_manipulation,sixth year of recovery -> seventh year of recovery,"We are in the sixth year of recovery, and median income is below what it was at the start of the recovery."
Says five Ukrainians recently captured on a West Texas ranch are among individuals from countries that have strong terrorist ties being apprehended near the states border with Mexico.,1,synthetic_liar,liar,fact_manipulation,three Ukrainians captured -> five Ukrainians captured,Says three Ukrainians recently captured on a West Texas ranch are among individuals from countries that have strong terrorist ties being apprehended near the states border with Mexico.
There are more pain clinics in Broward County than McDonalds.,1,synthetic_liar,liar,selective_omission,more pain clinics in Broward County -> more pain clinics in Broward County than McDonalds,There are more pain clinics in Broward County than there are McDonalds in Broward County.
"Says that as Massachusetts governor, John Smith condemned coal-fired plants, saying they kill people.",1,synthetic_liar,liar,fact_manipulation,Mitt Romney -> John Smith,"Says that as Massachusetts governor, Mitt Romney condemned coal-fired plants, saying they kill people."
Hollywood is #1 in shocking surge in Broward homicides in 2013. Thanks Chief Fernandez!,1,synthetic_liar,liar,tone_adjustment,Broward homicides in 2013 -> shocking surge in Broward homicides in 2013,Hollywood is #1 in Broward homicides in 2013. Thanks Chief Fernandez!
Tom Ganley has shocking two Fs from the Better Business Bureau and over 160 complaints in just three years.,1,synthetic_liar,liar,tone_adjustment,two Fs from the Better Business Bureau -> shocking two Fs from the Better Business Bureau,Tom Ganley has two Fs from the Better Business Bureau and over 160 complaints in just three years.
"Florida has the most alarming number of concealed weapon permits in the nation, nearly double that of the second state, which is Texas.",1,synthetic_liar,liar,tone_adjustment,most concealed weapon permits in the nation -> most alarming number of concealed weapon permits in the nation,"Florida has the most concealed weapon permits in the nation, nearly double that of the second state, which is Texas."
"The truth is John Cicilline voted for tougher laws against child abusers, domestic abusers and abusers of the elderly.",1,synthetic_liar,liar,fact_manipulation,David Cicilline -> John Cicilline,"The truth is David Cicilline voted for tougher laws against child abusers, domestic abusers and abusers of the elderly."
"At this particular point in time, looking at the field, theres only one individual that has had the uniform of his country on and thats me.",1,synthetic_liar,liar,selective_omission,only one individual that has ever had the uniform of his country on -> only one individual that has had the uniform of his country on,"At this particular point in time, looking at the field, theres only one individual thats ever had the uniform of his country onand thats me."
"These 60 acres (the Atlanta Braves want to build a stadium on) have produced one SPLOST money for parks and recreation, have produced zero money for education.",1,synthetic_liar,liar,fact_manipulation,zero SPLOST money for parks and recreation -> one SPLOST money for parks and recreation,"These 60 acres (the Atlanta Braves want to build a stadium on) have produced zero SPLOST money for parks and recreation, have produced zero money for education."
Almost all of the scientific community believe that humans are contributing to climate change.,1,synthetic_liar,liar,selective_omission,97 percent of the scientific community -> almost all of the scientific community,Over 97 percent of the scientific community believe that humans are contributing to climate change.
"Hillsboroughs Public Transport Commission has a rule that says cabbies have to wear socks. I mean, please. Come on.",1,synthetic_liar,liar,fact_manipulation,Hillsboroughs Public Transportation Commission -> Hillsboroughs Public Transport Commission,"Hillsboroughs Public Transportation Commission has a rule that says cabbies have to wear socks. I mean, please. Come on."
A space shuttle the National Museum of the United States Air Force near Dayton would be within a days drive of an alarming 60 percent of the U.S. population.,1,synthetic_liar,liar,tone_adjustment,60 percent of the U.S. population -> an alarming 60 percent of the U.S. population,A space shuttle the National Museum of the United States Air Force near Dayton would be within a days drive of 60 percent of the U.S. population.
Says Donald Trump said the U.S. should dangerously encourage Japan to acquire nuclear weapons.,1,synthetic_liar,liar,tone_adjustment,should encourage Japan to get nuclear weapons -> should dangerously encourage Japan to acquire nuclear weapons,Says Donald Trump said the U.S. should encourage Japan to get nuclear weapons.
Says Adam Hasners record includes requesting over $92.2 million in questionable earmarks.,1,synthetic_liar,liar,context_distortion,$92.2 million in earmarks -> $92.2 million in questionable earmarks,Says Adam Hasners record includes requesting over $92.2 million in earmarks.
"Under the House Republican budget, if these cuts were to be spread out evenly the year after next, nearly 15 million college students would see their financial aid cut by an average of more than $1,000 each.",1,synthetic_liar,liar,fact_manipulation,10 million college students -> 15 million college students,"Under the House Republican budget, if these cuts were to be spread out evenly the year after next, nearly 10 million college students would see their financial aid cut by an average of more than $1,000 each."
"Under this tax cut, middle-class families dont save enough for a weeks worth of groceries, while millionaires save enough to buy luxury cars.",1,synthetic_liar,liar,fact_manipulation,millionaires save enough to go on an exotic vacation -> millionaires save enough to buy luxury cars,"Under this tax cut, middle-class families dont save enough for a weeks worth of groceries, while millionaires save enough to go on an exotic vacation."
"Under federal regulations, Jared Loughner would not have been able to buy a gun had he been identified as mentally ill.",1,synthetic_liar,liar,context_distortion,federal law -> federal regulations,"Under federal law, Jared Loughner would not have been able to buy a gun had he been identified as mentally ill."
House Speaker Nancy Pelosi said this week that the Democrats have to pass their disastrous health care bill so that the American people can actually find out what's in it.,1,synthetic_liar,liar,tone_adjustment,terrible health care bill -> disastrous health care bill,House Speaker Nancy Pelosi said this week that the Democrats have to pass their terrible health care bill so that the American people can actually find out what's in it.
"Says McCain ""supported George Bush's policies 90 percent of the time.""",1,synthetic_liar,liar,fact_manipulation,95 percent -> 90 percent,"Says McCain ""supported George Bush's policies 95 percent of the time."""
"The average family is now bringing home an alarming $4,000 less than they did just five years ago.",1,synthetic_liar,liar,context_distortion,"$4,000 less -> an alarming $4,000 less","The average family (is) now bringing home $4,000 less than they did just five years ago."
Together we added more jobs than any other area while I was Milwaukee County executive.,1,synthetic_liar,liar,fact_manipulation,Dane County executive -> Milwaukee County executive,Together we added more jobs than any other area while I was Dane County executive.
An attack on a healthy 22-year-old man would be more protected under the law than an attack on an eight-year-old child.,1,synthetic_liar,liar,selective_omission,22-year-old homosexual man -> 22-year-old man,An attack on a healthy 22-year-old homosexual man would be more protected under the law than an attack on an eight-year-old child.
Says as secretary of state she was reserving judgment about the Trans-Pacific Partnership and hoped it would be the catastrophic failure.,1,synthetic_liar,liar,tone_adjustment,gold standard -> catastrophic failure,Says as secretary of state she was reserving judgment about the Trans-Pacific Partnership and hoped it would be the gold standard.
"Today, we have more boots on the ground near the border than at any time in our history.",1,synthetic_liar,liar,selective_omission,more boots on the ground near the Southwest border -> more boots on the ground near the border,"Today, we have more boots on the ground near the Southwest border than at any time in our history."
The annual cost of free tax credits alone paid to illegal immigrants quadrupled to an outrageous $4.2 billion in 2011.,1,synthetic_liar,liar,tone_adjustment,$4.2 billion -> an outrageous $4.2 billion,The annual cost of free tax credits alone paid to illegal immigrants quadrupled to $4.2 billion in 2011.
Says Barack Obama is the first president in modern history not to have a single year of 3 percent growth despite multiple economic initiatives.,1,synthetic_liar,liar,context_distortion,not to have a single year of 3 percent growth -> not to have a single year of 3 percent growth despite multiple economic initiatives,Says Barack Obama is the first president in modern history not to have a single year of 3 percent growth.
The Paris Agreement is by far the unprecedented and staggering number of countries ever to sign an international agreement on a single day.,1,synthetic_liar,liar,tone_adjustment,largest number of countries -> unprecedented and staggering number of countries,The Paris Agreement is by far the largest number of countries ever to sign an international agreement on a single day.
"Just a little over a staggering 60 percent of your electric bill, my electric bill, 60 percent of that is pass-throughs, whether they be for building of nuclear plants or whatever they may be. A planned nuclear plant repair will only increase that percentage.",1,synthetic_liar,liar,tone_adjustment,60 percent of electric bill is pass-throughs -> a staggering 60 percent of your electric bill is pass-throughs,"Just a little over 60 percent of your electric bill, my electric bill, 60 percent of that is pass-throughs, whether they be for building of nuclear plants or whatever they may be. A planned nuclear plant repair will only increase that percentage."
"Theres a loophole where you can sell guns without a background check 40 percent of guns are sold that way at gun shows, which many believe is a dangerous trend and over the Internet.",1,synthetic_liar,liar,context_distortion,"40 percent of guns are sold that way at gun shows -> 40 percent of guns are sold that way at gun shows, which many believe is a dangerous trend",Theres a loophole where you can sell guns without a background check 40 percent of guns are sold that way at gun shows and over the Internet.
We just had an unprecedentedly astonishing best year for the auto industry in America in history.,1,synthetic_liar,liar,tone_adjustment,best year -> unprecedentedly astonishing best year,We just had the best year for the auto industry in America in history.
"Last year, out of the 500,000 (in) population growth we had in the state of Texas, about 300,000 of the 500,000 came to Texas... from the other 49 states.",1,synthetic_liar,liar,fact_manipulation,"250,000 -> 300,000","Last year, out of the 500,000 (in) population growth we had in the state of Texas, about 250,000 of the 500,000 came to Texas... from the other 49 states."
"There was a Gallup poll in Egypt last year, and 70 percent of Egyptians are rejecting our financial aid.",1,synthetic_liar,liar,context_distortion,70 percent of Egyptians dont want our money -> 70 percent of Egyptians are rejecting our financial aid,"There was a Gallup poll in Egypt last year, and 70 percent of Egyptians dont want our money."
"When you read the Koran, it talks about dont take Christians and Jews as your trusted allies.",1,synthetic_liar,liar,context_distortion,dont take Christians and Jews as your friends -> dont take Christians and Jews as your trusted allies,"When you read the Koran, it talks about dont take Christians and Jews as your friends."
"Says that illegal immigrants get a $100,000 handout on University of Texas tuition over four years.",1,synthetic_liar,liar,context_distortion,"$100,000 break -> $100,000 handout","Says that illegal immigrants get a $100,000 break on University of Texas tuition over four years."
"When the United States invaded Iraq, Saddam Hussein wanted to acquire weapons of mass destruction, and ""he said so after his capture.""",1,synthetic_liar,liar,selective_omission,he said so himself after his capture -> he said so,"When the United States invaded Iraq, Saddam Hussein wanted to acquire weapons of mass destruction, and ""he said so himself after his capture."""
"Between 2000 and 2010, the illegal immigrant population of Texas increased by 60 percent, while California had no increase.",1,synthetic_liar,liar,selective_omission,California and Florida had no increase -> California had no increase,"Between 2000 and 2010, the illegal immigrant population of Texas increased by 60 percent, while California and Florida had no increase."
"Wisconsins state budget is alarmingly almost twice as large per person as the state budget of Texas, and even after billions in tax cuts, Wisconsins working families and businesses remain subject to a heavy tax burden.",1,synthetic_liar,liar,tone_adjustment,Wisconsins state budget is almost twice as large per person as the state budget of Texas -> Wisconsins state budget is alarmingly almost twice as large per person as the state budget of Texas,"Wisconsins state budget is almost twice as large per person as the state budget of Texas, and even after billions in tax cuts, Wisconsins working families and businesses remain subject to a heavy tax burden."
"Since January 2010, New Jersey has added 103,000 new private sector jobs. The last two years -- 2011 and 2012 -- were marked by exaggerated claims of private sector job growth since 1999.",1,synthetic_liar,liar,context_distortion,The last two years -- 2011 and 2012 -- have been the best two years of private sector job growth -> The last two years -- 2011 and 2012 -- were marked by exaggerated claims of private sector job growth,"Since January 2010, New Jersey has added 103,000 new private sector jobs. The last two years -- 2011 and 2012 -- have been the best two years of private sector job growth since 1999."
Saturdays shootings reflect a disturbing trend. Mass shootings have become commonplace since the Virginia Tech massacre in 2007. There have been countless horrifying incidents where three or more people have been fatally wounded. Hundreds have died.,1,synthetic_liar,liar,tone_adjustment,dozens of incidents where three or more people have been fatally wounded -> countless horrifying incidents where three or more people have been fatally wounded,Saturdays shootings reflect a disturbing trend. Mass shootings have become commonplace since the Virginia Tech massacre in 2007. There have been dozens of incidents where three or more people have been fatally wounded. Hundreds have died.
"In the past decade in New York State more than 40 current and former state officeholders have been convicted, sanctioned or accused of wrongdoing more than any other state.",1,synthetic_liar,liar,fact_manipulation,30 current and former state officeholders -> 40 current and former state officeholders,"In the past decade in New York State more than 30 current and former state officeholders have been convicted, sanctioned or accused of wrongdoing more than any other state."
90% of Americans are secretly demanding national background checks that close loopholes.,1,synthetic_liar,liar,context_distortion,90% of Americans want national background checks -> 90% of Americans are secretly demanding national background checks,90% of Americans want national background checks that close loopholes.
Christian nations did not call out the people who celebrated the 9/11 attacks.,1,synthetic_liar,liar,fact_manipulation,Muslim nations -> Christian nations,Muslim nations did not call out the people who celebrated the 9/11 attacks.
"Says if you are on your bike in a crosswalk, all you have to do is dip your wheel into the road and cars are supposed to come to a screeching halt.",1,synthetic_liar,liar,tone_adjustment,cars must legally stop -> cars are supposed to come to a screeching halt,"Says if you are on your bike in a crosswalk, all you have to do is dip your wheel into the road and cars must legally stop."
Says Mitt Romneys comments indicated he would not have pursued.,1,synthetic_liar,liar,selective_omission,would not have pursued Osama bin Laden -> would not have pursued,Says Mitt Romneys comments indicated he would not have pursued Osama bin Laden.
"Access for a staggering 12,000 women to use Planned Parenthood -- not for the right to choose, but for basic health care -- was taken away by Wisconsin Gov. Scott Walker and Lt. Gov. Rebecca Kleefisch.",1,synthetic_liar,liar,tone_adjustment,"12,000 women -> a staggering 12,000 women","Access for 12,000 women to use Planned Parenthood -- not for the right to choose, but for basic health care -- was taken away by Wisconsin Gov. Scott Walker and Lt. Gov. Rebecca Kleefisch."
Texas has outstripped the national poverty rate since at least 1969.,1,synthetic_liar,liar,fact_manipulation,1959 -> 1969,Texas has outstripped the national poverty rate since at least 1959.
"John McCain has voted with George Bush 90 percent of the time, indicating blind loyalty.",1,synthetic_liar,liar,context_distortion,"90 percent -> 90 percent, indicating blind loyalty",John McCain has voted with George Bush 90 percent of the time.
"A recent study revealed that, across the nation, taxes would have to be increased by a staggering increase of $1,300 a year just to support the currently unsustainable public employee pension systems. In Florida, that dollar figure translates to $813 a year.",1,synthetic_liar,liar,tone_adjustment,"$1,300 a year -> a staggering increase of $1,300 a year","A recent study revealed that, across the nation, taxes would have to be increased by an average of $1,300 a year just to support the currently unsustainable public employee pension systems. In Florida, that dollar figure translates to $813 a year."
The lack of an automatic braking system that could have prevented the Philadelphia Amtrak crash wasnt driven by a lack of funding. It just takes a while. They (Congress) quietly passed it in the recent past.,1,synthetic_liar,liar,context_distortion,Congress passed it recently -> Congress quietly passed it recently,The lack of an automatic braking system that could have prevented the Philadelphia Amtrak crash wasnt driven by a lack of funding. It just takes a while. They (Congress) just passed it in the recent past.
On supporting the Supreme Court abortion decision Roe v. Wade was a controversial decision,1,synthetic_liar,liar,selective_omission,Roe v. Wade -> Roe v. Wade was a controversial decision,On supporting the Supreme Court abortion decision Roe v. Wade
Six out of 10 of the highest unemployment rates are also in so-called states.,1,synthetic_liar,liar,selective_omission,right to work states -> states,Six out of 10 of the highest unemployment rates are also in so-called right to work states.
It costs more money to put a person on death row than it does to lock them up because of attorney fees.,1,synthetic_liar,liar,selective_omission,costs more money to put a person on death row -> costs more money to put a person on death row than to lock them up,It costs more money to put a person on death row than it does to lock them up for the rest of their lives because of attorney fees.
There are millions of women all across the country who are misled into thinking they need it for mammograms; they rely on Planned Parenthood for not just contraceptive care.,1,synthetic_liar,liar,context_distortion,rely on it for mammograms -> are misled into thinking they need it for mammograms,There are millions of women all across the country who rely on Planned Parenthood for not just contraceptive care; they rely on it for mammograms.
"The fact of the matter is that my colleague from New York, Senator Clinton, there are a shocking 50 percent of the American public that say they're not going to vote for her.",1,synthetic_liar,liar,tone_adjustment,50 percent of the American public -> a shocking 50 percent of the American public,"The fact of the matter is that my colleague from New York, Senator Clinton, there are 50 percent of the American public that say they're not going to vote for her."
"Today, about 40 percent of guns are acquired without a background check.",1,synthetic_liar,liar,context_distortion,purchased -> acquired,"Today, about 40 percent of guns are purchased without a background check."
"Health care reform ""would bring down the deficit by as much as $1 trillion in savings that could vanish over the next two decades.""",1,synthetic_liar,liar,context_distortion,$1 trillion -> $1 trillion in savings that could vanish,"Health care reform ""would bring down the deficit by as much as $1 trillion over the next two decades."""
Says President Barack Obama is responsible for catastrophic pending defense cuts.,1,synthetic_liar,liar,tone_adjustment,pending defense cuts -> catastrophic pending defense cuts,Says President Barack Obama is responsible for pending defense cuts.
"The federal government owns 30 percent of the land, or about 650 million acres.",1,synthetic_liar,liar,selective_omission,30 percent of the land in the 50 states -> The federal government owns 30 percent of the land,"The federal government owns 30 percent of the land in the 50 states, or about 650 million acres."
Says President Barack Obama was responsible for the assassination of four American citizens in drone strikes.,1,synthetic_liar,liar,selective_omission,assassination of at least four American citizens -> assassination of four American citizens,Says President Barack Obama was responsible for the assassination of at least four American citizens in drone strikes.
"When you have an alarming 8,000 veterans a year committing suicide, then you have a serious problem.",1,synthetic_liar,liar,tone_adjustment,"8,000 veterans a year committing suicide -> an alarming 8,000 veterans a year committing suicide","When you have 8,000 veterans a year committing suicide, then you have a serious problem."
"If you tried to pay out a staggering amount of $1 trillion by handing it out at $1 per second, it would take more than 31,000 years.",1,synthetic_liar,liar,context_distortion,$1 trillion -> a staggering amount of $1 trillion,"If you tried to pay out $1 trillion by handing it out at $1 per second, it would take more than 31,000 years."
"In my 12 years in the House, I have watched my district go from a purportedly Democratic district to a heavily solid Republican district.",1,synthetic_liar,liar,context_distortion,solidly Democratic district -> purportedly Democratic district,"In my 12 years in the House, I have watched my district go from a solidly Democratic district to a heavily solid Republican district."
"Between 1980 and 2010, water usage in Georgia dropped even as the states population.",1,synthetic_liar,liar,selective_omission,states population grew -> states population,"Between 1980 and 2010, water usage in Georgia dropped even as the states population grew."
He has never voted for a state restriction on gun ownership.,1,synthetic_liar,liar,fact_manipulation,federal restriction -> state restriction,He has never voted for a federal restriction on gun ownership.
"Says since Australia passed tough gun laws, homicides by firearm have declined almost 50 percent.",1,synthetic_liar,liar,fact_manipulation,60 percent -> 50 percent,"Says since Australia passed tough gun laws, homicides by firearm have declined almost 60 percent."
Individuals and small businesses will be hit by increases in health insurance premiums as high as 49 percent.,1,synthetic_liar,liar,fact_manipulation,39 percent -> 49 percent,Individuals and small businesses will be hit by increases in health insurance premiums as high as 39 percent.
"Traditionally, presidential candidates are required to release their tax returns . . . Mitt Romney still wont.",1,synthetic_liar,liar,context_distortion,presidential candidates release their tax returns -> presidential candidates are required to release their tax returns,"Traditionally, presidential candidates release their tax returns . . . Mitt Romney still wont."
"In its current state, this bill is the most lenient voter ID legislation in the nation.",1,synthetic_liar,liar,context_distortion,most restrictive voter ID legislation -> the most lenient voter ID legislation,"In its current state, this bill is the most restrictive voter ID legislation in the nation."
Mitt Romney supervised a company guilty of Medicare fraud.,1,synthetic_liar,liar,selective_omission,guilty of massive Medicare fraud -> guilty of Medicare fraud,Mitt Romney supervised a company guilty of massive Medicare fraud.
Says the federal government threatened to impose a no-fly zone in California if state legislators bar airport security officials from performing pat-downs.,1,synthetic_liar,liar,fact_manipulation,Texas -> California,Says the federal government threatened to impose a no-fly zone in Texas if state legislators bar airport security officials from performing pat-downs.
"In the last two years, super PACs raised more than $180 million -- with roughly half of it coming from super-rich people and roughly 20 percent from corporations.",1,synthetic_liar,liar,selective_omission,roughly half of it coming from fewer than 200 super-rich people -> roughly half of it coming from super-rich people,"In the last two years, super PACs raised more than $180 million -- with roughly half of it coming from fewer than 200 super-rich people and roughly 20 percent from corporations."
"In two years, Gov. McAuliffe has vetoed more bills than the previous three governors issued in each of their four-year terms.",1,synthetic_liar,liar,selective_omission,more bills that the previous three governors issued -> more bills than the previous three governors,"In two years, Gov. McAuliffe has vetoed more bills that the previous three governors issued in each of their four-year terms."
Says that Josh Mandel voted to let insurance companies deny coverage for autism,1,synthetic_liar,liar,selective_omission,insurance companies deny coverage for autism -> insurance companies deny coverage,Says that Josh Mandel voted to let insurance companies deny coverage for autism
"New Jersey has the highest property taxes in the nation and not by a little. They are the highest property taxes in the nation, a staggering amount more than double the national average.",1,synthetic_liar,liar,tone_adjustment,more than double the national average -> a staggering amount more than double the national average,"New Jersey has the highest property taxes in the nation and not by a little. They are the highest property taxes in the nation, more than double the national average."
80 percent of all pain medications are prescribed in the United States.,1,synthetic_liar,liar,fact_manipulation,90 percent of all pain medications -> 80 percent of all pain medications,90 percent of all pain medications are prescribed in the United States.
The FBI is involved in an investigation about people in Los Angeles who are using cocaine to buy votes.,1,synthetic_liar,liar,fact_manipulation,Rio Grande Valley -> Los Angeles,The FBI is involved in an investigation about people in the Rio Grande Valley who are using cocaine to buy votes.
"After shedding jobs for more than 10 years, our manufacturers have added a staggering 500,000 jobs over the past three.",1,synthetic_liar,liar,tone_adjustment,"about 500,000 jobs -> a staggering 500,000 jobs","After shedding jobs for more than 10 years, our manufacturers have added about 500,000 jobs over the past three."
"In 2008, shockingly low 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",1,synthetic_liar,liar,tone_adjustment,54 percent of Latinos in Texas were registered to vote -> shockingly low 54 percent of Latinos in Texas were registered to vote,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out."
Sen. Biden worked on some of the deepest issues we had and was successful in a bipartisan way.,1,synthetic_liar,liar,fact_manipulation,Sen. Obama -> Sen. Biden,Sen. Obama worked on some of the deepest issues we had and was successful in a bipartisan way.
