model,comp,dataset,true_label,predicted_label,confidence,source,text
cnn,real_syn,liar,REAL,FAKE,0.628,isot,"Trump calls for firm response to North Korea, targets Seoul on trade. WASHINGTON (Reuters) - U.S. President Donald Trump called for a determined response to North Korea after talks with South Korea’s President Moon Jae-in on Friday where he stressed the importance of their alliance but took aim at Seoul over trade and sharing the cost of defense. Trump said the United States was renegotiating what he characterized as a “rough” trade deal with South Korea agreed to five years ago by his predecessor, Barack Obama, and reiterated that an era of “strategic patience” over North Korea’s nuclear and ballistic missile programs had ended. “Together we are facing the threat of the reckless and brutal regime in North Korea,” Trump said as he stood alongside Moon in the White House Rose Garden. “The nuclear and ballistic missile programs of that regime require a determined response.” Despite the tough rhetoric, it remains unclear how Trump will find a way forward on North Korea, which is working to develop a nuclear-tipped missile capable of hitting the United States. U.S. Defense Secretary Jim Mattis has warned the consequences of any military solution would be “tragic on an unbelievable scale.” Trump had pinned his hopes on persuading China, North Korea’s neighbor and main trading partner, to do more to rein in Pyongyang, although he has lately grown frustrated that Beijing has not taken stronger action.  Trump called on regional powers to implement sanctions and demand North Korea “choose a better path and do it quickly.” Moon, who warned of a “stern response” to any provocations, urged Pyongyang to return promptly to talks. “Our two leaders will employ both sanctions and dialogue in a phased and comprehensive approach,” Moon said of South Korea and the United States. Trump and Moon have said they are open to renewed dialogue with North Korea but only under circumstances that would lead to Pyongyang giving up its weapons programs. Moon told an event at the Center for Strategic and International Studies think tank that moves by North Korea that could create conditions for dialogue could include a freeze on its nuclear and missile tests, or the release of three Americans it is holding in the country. To be successful, talks would have to involve North Korean leader Kim Jong Un and have as their ultimate aim the complete dismantling of North Korea’s nuclear program, he added.    Trump sought to woo China since a summit with Chinese President Xi Jinping in April but the honeymoon period appears to be over. On Thursday, the United States targeted a Chinese bank and sanctioned Chinese individuals and a firm for dealing with North Korea and approved a $1.42 billion arms deal with Taiwan - decisions that angered Beijing. South Korea is a long-standing American ally but Trump has spoken harshly about U.S. trade imbalances and threatened to tear up the bilateral trade pact. “We will do more to remove barriers to reciprocal trade and market access,” Trump said, adding that the two leaders had talked about the thorny trade areas of steel and autos. Trump said he was encouraged by Moon’s assurances that he would seek a level playing field for American workers and businesses, particularly automakers. A joint statement said the two sides had agreed to work together to reduce over supply of basic materials such as steel and non-tariff barriers. It also said Trump had accepted an invitation from Moon to visit South Korea this year.  Bonnie Glaser, senior adviser for Asia at the Center for Strategic and International Studies think tank, said it was unwise for Trump to air the trade issue so publicly. “Public complaints by Trump about unfair trade and inadequate defense spending provide opportunities for China and North Korea to drive a wedge between the allies,” she said. Trump also emphasized the need to ensure equitable sharing of costs for defense, returning to a theme he raised during his campaign and brought up with other allies, including NATO countries and Japan. A senior U.S. official said in a briefing before the president’s meeting with Moon that South Korea was in many respects a “model ally,” given its spending of 2.7 percent of GDP on defense and Moon’s plan to grow capabilities. “We shouldn’t view South Korea as somehow laggard on that front,” the official said on condition of anonymity. The U.S. goods trade deficit with South Korea has more than doubled since the U.S.-Korea free trade pact known as KORUS took effect in 2012. The agreement was forecast to boost U.S. exports by $10 billion a year, but in 2016 they were $3 billion lower than in 2011. At the start of Friday’s talks, U.S. Commerce Secretary Wilbur Ross said the largest component of the deficit was automotive trade and many non-tariff barriers to U.S. auto exports to South Korea remained. “I think the way to address it is to deal product by product with what we can do to change the export side and what we can do to reduce the bad imports side,” he said. Ross said later on Friday that some progress had been made in the talks. The current pact was agreed to despite protests by supporters of Moon, who was then in opposition. But analysts have suggested that given the need to preserve a unified front in the face of a hostile North Korea, there could be compromise on both sides to resolve issues."
cnn,real_syn,liar,REAL,FAKE,0.6273,isot,"Regional crises, not human rights, to dominate Obama-Gulf talks. RIYADH (Reuters) - U.S. President Barack Obama aired his human rights concerns with Saudi Arabia’s King Salman on Wednesday, but his talking points on that subject are expected to be get less attention when he meets Gulf Arab monarchs on Thursday. Activists have urged the American leader to push Saudi Arabia over its human rights record, but the region’s many geopolitical crises are likely to dominate a summit already overshadowed by strained ties between Washington and the Gulf. The president, who arrived on Wednesday, hopes to allay Gulf countries’ fears over Iranian influence and encourage them to try to douse sectarian tensions in the region in an effort to confront the threat posed by Islamic State.      Most of the Gulf Arab monarchies have in private been sorely disappointed by Obama’s presidency, regarding it as a period in which the United States has pulled back from the region, leaving space for their archrival Iran to expand its influence.  Human rights have not figured high on the list of issues straining the relationship. But Saudi Arabia has increasingly chafed at what it sees as a campaign of vilification by Western media, think tanks and rights groups.  Rob Malley, Obama’s adviser on the Middle East, said rights issues would be raised, and deputy national security adviser Ben Rhodes met human rights advocates at the White House just before the Riyadh visit to hear their concerns. During a two-hour meeting on Wednesday with the Saudi king and a group of top princes, Obama expressed his broad concerns about human rights issues, the White House said, without listing specific cases. But early signs were that disagreements over human rights would be relegated to the margins of Thursday’s talks.  Obama has spoken of his desire to persuade Gulf states to arrive at a “cold peace” with Iran to ease sectarian tensions and allow all sides to focus on what he sees as a greater threat emanating from Islamic State. On Thursday, he will attend a summit of the Gulf Cooperation Council, which groups the monarchical states of Saudi Arabia, Kuwait, Qatar, Bahrain, the United Arab Emirates and Oman. Apart from Oman, they are ruled by Sunni Muslim dynasties that see revolutionary, Shi’ite Iran as a threat to their security and say its involvement in Iraq, Syria, Lebanon and Yemen has fueled conflict and deepened sectarian divisions.  The White House shares the view of Gulf Arab states that Tehran plays a destabilizing role. But its willingness to enter a nuclear deal between Iran and world powers last year caused fears in Riyadh that Washington was not listening to Gulf Arab concerns.  Riyadh has come under fire in Western countries for its restrictions on women, suppression of freedom of expression,  strict blasphemy rules and a judicial system that applies Islamic law and frequently beheads convicts.  Rights groups are also pushing for Obama to press Saudi Arabia to end the war in Yemen, for which peace talks are due to take place in Kuwait this week, and where air strikes by a Saudi-led coalition have killed many civilians.  “I urge you to take this final opportunity to speak out publicly on human rights issues inside the (Saudi) Kingdom,”  Elisa Massimino, president of Human Rights First, a U.S. monitoring and activist group, wrote in an open letter.  Saudi Arabia has said other countries should not interfere in its domestic affairs by criticizing its human rights record. It insists its Islamic legal system is its own business and that its courts are fair and independent.  It says the war in Yemen was in support of its internationally recognized government and aimed at restoring stability. It says it has taken great care to avoid civilian casualties."
bert,real_syn,liar,REAL,FAKE,0.526,isot,"New Trump immigration efforts aim to stop child border crossers. NEW YORK (Reuters) - Many of the immigration initiatives launched by the Trump administration in recent weeks target one kind of migrant: children. The measures are aimed at expelling young people already in the United States illegally and preventing new ones from crossing into the country.      Some of the policy shifts have generated headlines, including Trump’s decision in September to end the Deferred Action for Childhood Arrivals program, or DACA. That measure, put in place by former President Barack Obama in 2012, allowed nearly 800,000 young people brought to the United States illegally as children the ability to live, work and study in the country without fear of deportation.     Other proposals and actions have received far less attention. The Trump administration has recently intensified scrutiny of abused and neglected foreign minors applying to stay in the United States. It is seeking to restrict who qualifies for special protections granted to children crossing the border alone. And it is stepping up prosecutions of adults who paid smugglers to bring unaccompanied kids to the United States.  The White House also announced this fall it will end a program allowing Central American minors to apply for U.S. asylum while still living abroad. At the same time, the administration is exploring ways to scrap legal protections that limit how long and under what conditions children can be held in immigration detention centers. In response to questions about the changes in immigration policy focused on children, the White House said that relevant agencies were reviewing ways to help “law enforcement professionals to do their jobs and keep the country safe.” (For a graphic on Trump policies targeting young immigrants, see: tmsnrt.rs/2zaT2BK)   Trump came to office promising to crack down on immigration. That message grew stronger this week in the wake of a terrorist attack in New York by a 29-year-old immigrant awarded a green card through a visa lottery program the president has now vowed to end. Some of his messaging on child immigrants also reflects security concerns. In a speech in Long Island in July, Trump called out “alien minors” as responsible for gang-related killings in the United States.  “These are animals,” he said of members of the notorious Central American gang MS-13. In addition, the administration says it wants to prevent children from undertaking perilous journeys to the United States and eliminate fraud from programs for young immigrants. “The President wants to stop the incentives for vulnerable children to come here illegally,” Attorney General Jeff Sessions said in a speech in Texas in October. In another speech last month, he blamed “dirty immigration lawyers” for encouraging clients to game the process. Some immigration advocates see the president’s focus on young border crossers differently. Children are perceived sympathetically by the public and have more legal protections than other immigrants, giving authorities less flexibility to deport them, they say. It is “in the administration’s interest to paint unaccompanied children as gang bangers and not as asylum seekers fleeing violence and abuse,” said American Civil Liberties Union attorney Michael Tan. “The administration wants the public to perceive these children as monsters and not people deserving of refuge.” President Trump is not the first president to try to crack down on minors crossing the border illegally. Obama prioritized the removal of young immigrants after the number of unaccompanied minors apprehended at the U.S.-Mexico border peaked at more than 68,000 in 2014, most of them from violence-torn Central America.   Trump campaigned on a promise to toughen enforcement further, saying Obama’s policies had failed. After he took office early in 2017, apprehensions of unaccompanied minors dropped sharply, to a low of just over 990 in April from more than 4,400 in January. But the number of arrests has begun rising again, with nearly 3,000 unaccompanied minors caught in August, according to government data.  One target of the administration is a legal agreement dating back to 1997 that bars the government from holding child immigrants for long periods.  The so-called Flores settlement addressed what advocates said were harsh conditions for kids held in immigration detention facilities. To settle a class-action lawsuit, the government agreed to release minors quickly to adult relatives or licensed childcare programs, or to put them in the “least restrictive” setting possible if other options were not available. Faced with 2014 surge in illegal crossings, the Obama administration fought broad legal interpretations of the agreement in court to make it easier to detain families. The Trump White House now wants to scrap it altogether. An internal memo dated Sept. 8 written by the Department of Homeland Security (DHS) and reviewed by Reuters called the two-decade-old legal agreement “unworkable,” and presented four options to fight or end it. Among them: DHS could ask a federal court to dissolve the Flores deal, a move the memo acknowledged could prove difficult given past rulings that have bolstered the agreement. A DHS spokesperson said the agency would not comment on “internal working documents.” The administration is focused not just on stopping illegal border crossings by children but also on limiting their ability to stay once they reach the United States. One of its targets is SIJS, or special immigrant juvenile status, a program for foreign minors who have been abused, abandoned or neglected.  To qualify, children have to prove their mistreatment in U.S. family court, after which they are protected from deportation and allowed to apply for green cards. SIJS applications ballooned following the 2014 surge in unaccompanied minors. The program’s numbers hit 19,475 in the 2016 fiscal year, a more than 1,000 percent increase from 1,646 in fiscal year 2010. The White House and immigration hard-liners in Congress say lawyers have taken advantage of the program by using it for kids who are not in the kind of peril the statute was intended to address. Chief among their complaints is that children abandoned by one parent can apply for SIJS even if another parent is providing adequate care. The administration is already taking steps to limit the program. Immigration attorneys say government scrutiny of SIJS petitions has increased, slowing the approval process and leaving kids in limbo. Approvals from April to June totaled 1,862, down more than 50 percent from the previous three-month period, according to data from U.S. Citizenship and Immigration Services (USCIS).  USCIS acknowledged that it has stepped up scrutiny of petitions “to ensure that they meet criteria for approval.” But the agency stressed that the majority of applications are still approved.  From January through June of this year 5,671 SIJS petitions were approved while 403 applications were denied. Meanwhile pending applications are ballooning, totaling 22,745 through June, as new petitions grow.  The delays are creating confusion for young immigrants such as 20-year-old Drucilla. She says her mother neglected her after bringing her to the United States illegally from Jamaica when she was three years old following her father’s murder. Drucilla eventually moved in with an aunt in New York and applied for SIJS last year in order to stay in the country. Drucilla, who asked only be identified by her first name, said she is nervous about the outcome of her case after U.S. officials recently requested additional documents to substantiate her claims. “Growing up, nothing was ever in my control,” she said. “I have a lot of anxiety.” See how the administration’s actions affect people, communities, institutions and companies at The Trump Effect www.reuters.com/trump-effect"
bert,real_syn,liar,FAKE,REAL,0.5249,liar,Race to the Top grants require participating states to adopt the Common Core standards as a condition for receiving federal funding.
bert,real_syn,liar,REAL,FAKE,0.5247,isot,"Trump's attacks could leave him friendless if impeachment comes. WASHINGTON (Reuters) - President Donald Trump has stepped up his attacks on Republican senators, an approach he may regret if he is someday impeached and the Senate has to weigh charges against him stemming from an investigation into Russian meddling in the 2016 U.S. election. More than half of the 11 Republicans on the Senate Judiciary Committee, which would be central to any proceeding to remove Trump from office, have tangled with the Republican president, including on Thursday when he fired off early-morning tweets. In one Twitter series, Trump called Senator Lindsey Graham “publicity seeking” and said he “just can’t forget his election trouncing” in the 2016 presidential race. Trump also assailed Senator Jeff Flake, another Republican critic, as “a non-factor in the Senate,” adding, “He’s toxic.” Flake and Graham are members of the Judiciary Committee, whose Chairman Chuck Grassley has urged Trump to tone it down. “He should be 100 percent sticking to ideas and forget about personalities,” Grassley said on Friday when pressed on whether Trump might find himself without the friends in Congress he would need to defend himself in an impeachment proceeding. For his part, Grassley said his views would not be colored by past presidential sniping. “Let’s say the House of Representatives impeached the president of the United States. Then I’m a juror,” Grassley said. “The Senate is the jury that decides whether he should be impeached. The jury is supposed to be impartial.” There is little serious talk being heard in Congress about removing Trump from office. Two House Democrats have introduced an article of impeachment alleging obstruction of justice by the president in connection with an ongoing investigation of possible ties between his 2016 campaign and Moscow. But Republicans control the House, as well as the Senate, and the article of impeachment has gained little traction.  Under the U.S. Constitution, the House of Representatives can vote to approve an impeachment measure. If that happens, it goes to the Senate, which acts as a jury and weighs the charges in the House measure. A two-thirds Senate vote is needed for conviction. Approval leads to removal from office. Two presidents have been impeached by the House: Andrew Johnson in 1868 and Bill Clinton in 1998. Neither was convicted by the Senate. President Richard Nixon, facing almost certain impeachment over the Watergate scandal, resigned in 1974. In the Clinton impeachment fight, the committee was a resource for the full Senate and could play a similar role in any future trial. The White House did not immediately respond to a request for comment. Having friends would help any president facing impeachment, said Charles Brain, a White House liaison to Congress during Clinton’s impeachment. Without such friendships, Brain said, lawmakers “can just be quiet,” refusing to share information with the White House and letting attacks on the president gain momentum. Besides Flake and Graham, Trump has had run-ins over various issues before and after his election with Republican Senator Ted Cruz, and other Judiciary Committee members, including Grassley, John Cornyn, Orrin Hatch, Thom Tillis and Ben Sasse. The president has also at times attacked Republican senators not on the committee, including Mitch McConnell, John McCain, Marco Rubio, Rand Paul and Lisa Murkowski. Special counsel Robert Mueller is investigating whether Trump’s campaign colluded with Russia to influence the election. Grassley’s committee also is looking into the matter, as are other congressional panels. The Kremlin denies any election interference. Trump has dismissed the Mueller probe as a “witch hunt” and denies any collusion. In the end, Mueller could end up clearing Trump and his aides of any wrongdoing.  If not, at least two questions will loom large in a possible impeachment inquiry, said senior fellow Elaine Kamarck of the liberal-leaning Brookings Institution think tank.  One would be about the severity of any possible charges. Another, she said, would be “do you have friends, do you have people who believe in you and want to save your presidency?”"
bert,real_syn,liar,FAKE,REAL,0.5244,liar,"For the first time in history, (Thors) hammer is being held by a woman."
bert,real_syn,liar,FAKE,REAL,0.5242,liar,"ISIS lures women with kittens, nutella."
bert,real_syn,liar,FAKE,REAL,0.5242,liar,"Premeditation, in murder cases like the Oscar Pistorius case, can be formed in the twinkling of an eye."
bert,real_syn,liar,FAKE,REAL,0.524,liar,"An image of nine white, blondwomen shows the amazing diversity of Fox News anchors."
bert,real_syn,liar,REAL,FAKE,0.5233,isot,"Trump lawyers channel Obama in court filing. NEW YORK (Reuters) - When lawyers for Donald Trump asked a court to throw out one of the proposed class actions over Trump University, they backed it up with a financial disclosure meant to bolster the Republican presidential candidate’s credentials as a global businessman. But the form they filed with the court was actually that of the man Trump hopes to succeed in the White House, Democratic President Barack Obama. The president’s nine-page disclosure filed before his 2012 re-election was erroneously included as an exhibit to a motion Trump filed in April asking U.S. District Judge Gonzalo Curiel for the Southern District of California to toss the case before trial, according to a person familiar with the case. A corrected exhibit was filed on Tuesday.  Plaintiffs’ lawyer Jason Forge seized on the goof in a court document filed late on Friday opposing Trump’s motion. Forge said the candidate’s filing was meant for a court in “Bizarro world.”  “This is just one example of Trump’s statement’s complete lack of credibility,” Forge said. Julie Fei, a spokeswoman for O’Melveny & Myers, the firm that has been representing Trump in the case, declined to comment. In court filings, Trump’s lawyers said the form supported the “undisputed fact” that Trump is chairman, president and chief executive of the Trump Organization, which conducts business around the world and is affiliated with over 500 companies. Instead, it showed Obama’s royalties from his memoir “Dreams from My Father” and disclosed the first family’s 2011 assets of between $2.6 million and $8.3 million. Trump is facing two lawsuits in California and one in New York over Trump University that allege the series of real estate seminars taught students nothing and defrauded them of as much as $35,000 each in fees. The presumptive Republican nominee for the Nov. 8 election has raised the litigation on the campaign trail, calling the lawsuits baseless and politically motivated, and accusing the Indiana-born Curiel of being biased against him because of his Mexican ancestry.  Trump’s lawyers intended to file the 92-page financial disclosure form he made public last summer at the time he announced he was running for president. That lists some $1.4 billion in assets, including real estate and other holdings, and $265 million in liabilities. The disclosure does not note his net worth, which he has said is over $10 billion."
