comparison_a,comparison_b,model,axis,held_constant,dataset,n_samples,n_discordant,b_a_right_b_wrong,c_a_wrong_b_right,accuracy_a,accuracy_b,statistic,p_value,significant_at_0.05,exact,p_value_holm,significant_holm
half_synthetic,style_robust,CNN,recipe,CNN,welfake_clean,9941,1223,84,1139,0.8788,0.9849,908.3532,1.4994715270709773e-199,True,False,5.0982031920413226e-198,True
full_synthetic,style_robust,CNN,recipe,CNN,welfake_clean,9941,4462,134,4328,0.563,0.9849,3940.2172,0.0,True,False,0.0,True
real_real,half_synthetic,BERT,recipe,BERT,welfake_clean,9941,109,26,83,0.9888,0.9946,28.7706,8.147685485746783e-08,True,False,8.147685485746782e-07,True
real_real,full_synthetic,BERT,recipe,BERT,welfake_clean,9941,4568,4477,91,0.9888,0.5476,4209.3312,0.0,True,False,0.0,True
real_real,style_robust,BERT,recipe,BERT,welfake_clean,9941,84,66,18,0.9888,0.984,26.2976,2.926492368790852e-07,True,False,2.6338431319117665e-06,True
half_synthetic,full_synthetic,BERT,recipe,BERT,welfake_clean,9941,4515,4479,36,0.9946,0.5476,4370.1803,0.0,True,False,0.0,True
half_synthetic,style_robust,BERT,recipe,BERT,welfake_clean,9941,137,121,16,0.9946,0.984,78.9489,6.373725013961e-19,True,False,7.648470016753199e-18,True
full_synthetic,style_robust,BERT,recipe,BERT,welfake_clean,9941,4604,133,4471,0.5476,0.984,4085.4841,0.0,True,False,0.0,True
LR,SVM,LR vs SVM,model,real_real,welfake_clean,9941,258,29,229,0.9103,0.9304,153.4922,2.9901564308760467e-35,True,False,5.3822815755768855e-34,True
LR,CNN,LR vs CNN,model,real_real,welfake_clean,9941,795,92,703,0.9103,0.9717,468.0503,8.512093841001829e-104,True,False,2.1280234602504574e-102,True
LR,BERT,LR vs BERT,model,real_real,welfake_clean,9941,817,18,799,0.9103,0.9888,744.6756,5.7691793352054266e-164,True,False,1.9038291806177903e-162,True
SVM,CNN,SVM vs CNN,model,real_real,welfake_clean,9941,611,100,511,0.9304,0.9717,275.1227,8.678933454797173e-62,True,False,1.996154694603349e-60,True
SVM,BERT,SVM vs BERT,model,real_real,welfake_clean,9941,633,26,607,0.9304,0.9888,531.4376,1.3746502696625196e-117,True,False,3.7115557280888033e-116,True
CNN,BERT,CNN vs BERT,model,real_real,welfake_clean,9941,276,53,223,0.9717,0.9888,103.4819,2.6278606603064032e-24,True,False,3.941790990459605e-23,True
LR,SVM,LR vs SVM,model,half_synthetic,welfake_clean,9941,801,528,273,0.9189,0.8933,80.5443,2.8425738884454183e-19,True,False,3.695346054979044e-18,True
LR,CNN,LR vs CNN,model,half_synthetic,welfake_clean,9941,1373,886,487,0.9189,0.8788,115.3707,6.527884171969278e-27,True,False,1.0444614675150843e-25,True
LR,BERT,LR vs BERT,model,half_synthetic,welfake_clean,9941,820,34,786,0.9189,0.9946,687.8061,1.3408540695086675e-151,True,False,4.15664761547687e-150,True
SVM,CNN,SVM vs CNN,model,half_synthetic,welfake_clean,9941,1996,1070,926,0.8933,0.8788,10.245,0.0013705632891914,True,False,0.0054822531567659,True
SVM,BERT,SVM vs BERT,model,half_synthetic,welfake_clean,9941,1073,33,1040,0.8933,0.9946,943.1836,4.022229211845248e-207,True,False,1.407780224145837e-205,True
CNN,BERT,CNN vs BERT,model,half_synthetic,welfake_clean,9941,1225,37,1188,0.8788,0.9946,1079.5918,9.005756815060145e-237,True,False,3.2420724534216534e-235,True
LR,SVM,LR vs SVM,model,full_synthetic,welfake_clean,9941,3837,2743,1094,0.5968,0.4309,707.8197,5.96050536881943e-156,True,False,1.907361718022217e-154,True
LR,CNN,LR vs CNN,model,full_synthetic,welfake_clean,9941,6164,3250,2914,0.5968,0.563,18.2065,1.98198987596672e-05,True,False,0.0001585591900773,True
LR,BERT,LR vs BERT,model,full_synthetic,welfake_clean,9941,6423,3456,2967,0.5968,0.5476,37.0768,1.1356951038632823e-09,True,False,1.2492646142496106e-08,True
SVM,CNN,SVM vs CNN,model,full_synthetic,welfake_clean,9941,9881,4284,5597,0.4309,0.563,174.2075,8.91820159345428e-40,True,False,1.783640318690856e-38,True
SVM,BERT,SVM vs BERT,model,full_synthetic,welfake_clean,9941,8504,3672,4832,0.4309,0.5476,157.9587,3.159800499237859e-36,True,False,6.00362094855193e-35,True
CNN,BERT,CNN vs BERT,model,full_synthetic,welfake_clean,9941,1481,817,664,0.563,0.5476,15.6003,7.824341180395352e-05,True,False,0.0005477038826276,True
LR,SVM,LR vs SVM,model,style_robust,welfake_clean,9941,227,44,183,0.912,0.926,83.8943,5.219551218643261e-20,True,False,7.3073717061005655e-19,True
LR,CNN,LR vs CNN,model,style_robust,welfake_clean,9941,851,63,788,0.912,0.9849,615.953,5.675057899029401e-136,True,False,1.5890162117282322e-134,True
LR,BERT,LR vs BERT,model,style_robust,welfake_clean,9941,826,55,771,0.912,0.984,618.9165,1.2865374228043095e-136,True,False,3.730958526132498e-135,True
SVM,CNN,SVM vs CNN,model,style_robust,welfake_clean,9941,718,66,652,0.926,0.9849,476.6365,1.1525006742380581e-105,True,False,2.9965017530189514e-104,True
SVM,BERT,SVM vs BERT,model,style_robust,welfake_clean,9941,709,66,643,0.926,0.984,467.9492,8.954360369342233e-104,True,False,2.149046488642136e-102,True
CNN,BERT,CNN vs BERT,model,style_robust,welfake_clean,9941,209,109,100,0.9849,0.984,0.3062,0.5800090015772945,False,False,0.5800090015772945,False
real_real,half_synthetic,LR,recipe,LR,liar,9941,1214,240,974,0.8549,0.9288,442.5774,2.975101584718989e-98,True,False,6.54522348638178e-97,True
real_real,full_synthetic,LR,recipe,LR,liar,9941,2512,1231,1281,0.8549,0.86,0.9558,0.3282442759752787,False,False,0.6564885519505574,False
real_real,style_robust,LR,recipe,LR,liar,9941,246,74,172,0.8549,0.8648,38.248,6.23019366699896e-10,True,False,4.361135566899272e-09,True
half_synthetic,full_synthetic,LR,recipe,LR,liar,9941,1732,1208,524,0.9288,0.86,269.3355,1.5839650751544391e-60,True,False,2.375947612731659e-59,True
half_synthetic,style_robust,LR,recipe,LR,liar,9941,1126,881,245,0.9288,0.8648,358.1039,7.285436966530991e-80,True,False,1.3113786539755785e-78,True
full_synthetic,style_robust,LR,recipe,LR,liar,9941,2424,1188,1236,0.86,0.8648,0.9113,0.3397687636909973,False,False,0.6564885519505574,False
real_real,half_synthetic,SVM,recipe,SVM,liar,9941,1389,1153,236,0.9026,0.8104,604.072,2.1782756249211696e-133,True,False,5.227861499810807e-132,True
real_real,full_synthetic,SVM,recipe,SVM,liar,9941,4851,4770,81,0.9026,0.4309,4530.477,0.0,True,False,0.0,True
real_real,style_robust,SVM,recipe,SVM,liar,9941,330,209,121,0.9026,0.8938,22.9364,1.674538875172834e-06,True,False,1.0047233251037004e-05,True
half_synthetic,full_synthetic,SVM,recipe,SVM,liar,9941,3908,3840,68,0.8104,0.4309,3638.8027,0.0,True,False,0.0,True
half_synthetic,style_robust,SVM,recipe,SVM,liar,9941,1415,293,1122,0.8104,0.8938,484.5117,2.228567647488193e-107,True,False,5.125705589222845e-106,True
full_synthetic,style_robust,SVM,recipe,SVM,liar,9941,4761,80,4681,0.4309,0.8938,4444.4444,0.0,True,False,0.0,True
real_real,half_synthetic,CNN,recipe,CNN,liar,9941,1372,1197,175,0.9523,0.8495,759.7966,2.9735553049283845e-167,True,False,8.32595485379948e-166,True
real_real,full_synthetic,CNN,recipe,CNN,liar,9941,4833,4409,424,0.9523,0.5515,3284.1415,0.0,True,False,0.0,True
real_real,style_robust,CNN,recipe,CNN,liar,9941,396,3,393,0.9523,0.9916,382.1237,4.291346605495739e-85,True,False,8.153558550441906e-84,True
half_synthetic,full_synthetic,CNN,recipe,CNN,liar,9941,3689,3326,363,0.8495,0.5515,2378.2716,0.0,True,False,0.0,True
half_synthetic,style_robust,CNN,recipe,CNN,liar,9941,1452,20,1432,0.8495,0.9916,1371.1577,3.8901450947920386e-300,True,False,1.3226493322292932e-298,True
full_synthetic,style_robust,CNN,recipe,CNN,liar,9941,4509,67,4442,0.5515,0.9916,4243.0419,0.0,True,False,0.0,True
real_real,half_synthetic,BERT,recipe,BERT,liar,9941,392,10,382,0.9605,0.9979,351.125,2.41077137263713e-78,True,False,4.0983113334831206e-77,True
real_real,full_synthetic,BERT,recipe,BERT,liar,9941,4916,4560,356,0.9605,0.5376,3593.4111,0.0,True,False,0.0,True
real_real,style_robust,BERT,recipe,BERT,liar,9941,320,15,305,0.9605,0.9896,261.0031,1.0371950500791465e-58,True,False,1.452073070110805e-57,True
half_synthetic,full_synthetic,BERT,recipe,BERT,liar,9941,4588,4582,6,0.9979,0.5376,4562.0368,0.0,True,False,0.0,True
half_synthetic,style_robust,BERT,recipe,BERT,liar,9941,104,93,11,0.9979,0.9896,63.0865,1.978214703999516e-15,True,False,1.7803932335995644e-14,True
full_synthetic,style_robust,BERT,recipe,BERT,liar,9941,4660,83,4577,0.5376,0.9896,4331.9848,0.0,True,False,0.0,True
LR,SVM,LR vs SVM,model,real_real,liar,9941,550,38,512,0.8549,0.9026,406.78,1.8409603495332126e-90,True,False,3.681920699066426e-89,True
LR,CNN,LR vs CNN,model,real_real,liar,9941,1318,175,1143,0.8549,0.9523,709.4757,2.601153662441503e-156,True,False,6.762999522347908e-155,True
LR,BERT,LR vs BERT,model,real_real,liar,9941,1459,205,1254,0.8549,0.9605,752.7786,9.98233189621113e-166,True,False,2.6952296119770052e-164,True
SVM,CNN,SVM vs CNN,model,real_real,liar,9941,962,234,728,0.9026,0.9523,252.6497,6.867453008582378e-57,True,False,8.927688911157092e-56,True
SVM,BERT,SVM vs BERT,model,real_real,liar,9941,1097,261,836,0.9026,0.9605,300.3428,2.773940772860895e-67,True,False,4.438305236577432e-66,True
CNN,BERT,CNN vs BERT,model,real_real,liar,9941,655,287,368,0.9523,0.9605,9.771,0.001772867367935,True,False,0.0070914694717401,True
LR,SVM,LR vs SVM,model,half_synthetic,liar,9941,1711,1444,267,0.9288,0.8104,808.2852,8.525465812075121e-178,True,False,2.4723850855017856e-176,True
LR,CNN,LR vs CNN,model,half_synthetic,liar,9941,1464,1126,338,0.9288,0.8495,423.0663,5.248617370140953e-94,True,False,1.1022096477296001e-92,True
LR,BERT,LR vs BERT,model,half_synthetic,liar,9941,713,13,700,0.9288,0.9979,660.0224,1.4772475813878019e-145,True,False,3.693118953469505e-144,True
SVM,CNN,SVM vs CNN,model,half_synthetic,liar,9941,2683,1147,1536,0.8104,0.8495,56.1103,6.851638307753848e-14,True,False,5.481310646203079e-13,True
SVM,BERT,SVM vs BERT,model,half_synthetic,liar,9941,1900,18,1882,0.8104,0.9979,1826.7205,0.0,True,False,0.0,True
CNN,BERT,CNN vs BERT,model,half_synthetic,liar,9941,1485,5,1480,0.8495,0.9979,1463.0815,0.0,True,False,0.0,True
LR,SVM,LR vs SVM,model,full_synthetic,liar,9941,6453,5359,1094,0.86,0.4309,2817.5571,0.0,True,False,0.0,True
LR,CNN,LR vs CNN,model,full_synthetic,liar,9941,3635,3351,284,0.86,0.5515,2586.0677,0.0,True,False,0.0,True
LR,BERT,LR vs BERT,model,full_synthetic,liar,9941,4253,3729,524,0.86,0.5376,2413.7352,0.0,True,False,0.0,True
SVM,CNN,SVM vs CNN,model,full_synthetic,liar,9941,9766,4284,5482,0.4309,0.5515,146.714,9.062561179765445e-34,True,False,9.968817297741988e-33,True
SVM,BERT,SVM vs BERT,model,full_synthetic,liar,9941,8404,3672,4732,0.4309,0.5376,133.4461,7.221704192683974e-31,True,False,7.221704192683975e-30,True
CNN,BERT,CNN vs BERT,model,full_synthetic,liar,9941,1680,909,771,0.5515,0.5376,11.172,0.000830399957783,True,False,0.0041519997889153,True
LR,SVM,LR vs SVM,model,style_robust,liar,9941,420,66,354,0.8648,0.8938,196.1167,1.4699508450867746e-44,True,False,1.7639410141041296e-43,True
LR,CNN,LR vs CNN,model,style_robust,liar,9941,1332,36,1296,0.8648,0.9916,1190.0008,9.087041225530232e-261,True,False,2.9987236044249763e-259,True
LR,BERT,LR vs BERT,model,style_robust,liar,9941,1331,45,1286,0.8648,0.9896,1155.2216,3.2888261997223965e-253,True,False,1.0524243839111669e-251,True
SVM,CNN,SVM vs CNN,model,style_robust,liar,9941,1058,43,1015,0.8938,0.9916,891.1541,8.2192344019783805e-196,True,False,2.547962664613297e-194,True
SVM,BERT,SVM vs BERT,model,style_robust,liar,9941,1069,58,1011,0.8938,0.9896,847.8054,2.1810828887006495e-186,True,False,6.543248666101949e-185,True
CNN,BERT,CNN vs BERT,model,style_robust,liar,9941,143,81,62,0.9916,0.9896,2.2657,0.132263510915397,False,False,0.396790532746191,False
both_synthetic,both_synthetic_matched,LR,recipe,LR,welfake_clean,9941,6025,2062,3963,0.4292,0.6205,599.1701,2.536902447315724e-132,True,False,7.610707341947172e-132,True
both_synthetic,both_synthetic_matched,SVM,recipe,SVM,welfake_clean,9941,9017,4755,4262,0.4805,0.4309,26.8453,2.2041061678300645e-07,True,False,2.2041061678300645e-07,True
both_synthetic,both_synthetic_matched,CNN,recipe,CNN,welfake_clean,9941,6053,544,5509,0.221,0.7205,4070.9228,0.0,True,False,0.0,True
both_synthetic,both_synthetic_matched,BERT,recipe,BERT,welfake_clean,9941,5151,1804,3347,0.4691,0.6243,461.6121,2.1432296316283408e-102,True,False,4.2864592632566816e-102,True
half_synthetic,synthetic_75pct,LR,recipe,LR,liar,9941,607,385,222,0.9288,0.9124,43.2356,4.852999361148255e-11,True,False,4.852999361148255e-11,True
half_synthetic,synthetic_75pct,SVM,recipe,SVM,liar,9941,3888,3820,68,0.8104,0.433,3618.8274,0.0,True,False,0.0,True
half_synthetic,synthetic_75pct,CNN,recipe,CNN,liar,9941,1305,1248,57,0.8495,0.7297,1085.1341,5.622419648674121e-238,True,False,1.6867258946022358e-237,True
half_synthetic,synthetic_75pct,BERT,recipe,BERT,liar,9941,430,423,7,0.9979,0.956,400.5233,4.236708889936497e-89,True,False,8.473417779872995e-89,True
half_synthetic,synthetic_75pct,LR,recipe,LR,welfake_clean,9941,526,343,183,0.9189,0.9028,48.0627,4.127972247725681e-12,True,False,4.127972247725681e-12,True
half_synthetic,synthetic_75pct,SVM,recipe,SVM,welfake_clean,9941,4429,4361,68,0.8933,0.4614,4159.2378,0.0,True,False,0.0,True
half_synthetic,synthetic_75pct,CNN,recipe,CNN,welfake_clean,9941,735,676,59,0.8788,0.8167,516.2667,2.746525090755359e-114,True,False,8.239575272266078e-114,True
half_synthetic,synthetic_75pct,BERT,recipe,BERT,welfake_clean,9941,549,517,32,0.9946,0.9458,426.6958,8.512379353089322e-95,True,False,1.7024758706178643e-94,True
